part_number,quantity,guide_price,,,,,
D110278,10,3.383,,,,,
D110-278,10,3.383,,,,,
ABS0368-01,1,20.774,,,,,
22201BC080021L,5,9.129,,,,,
L22201-80-21BCL,5,9.129,,,,,
ABS0370-01,10,2.21,,,,,
1-480305-0,10,1.4365,,,,,
MS20392-2C13,1,12.869,,,,,
22201CM050003E,5,14.773,,,,,
M39029/32-259,50,1.547,,,,,
M39029-32-259,50,1.547,,,,,
NAS1149F0463P,50,0.697,,,,,
AN960-416,50,0.697,,,,,
NAS1149C0432R,1000,0.1275,,,,,
AN960C416L,1000,0.1275,,,,,
NSA937901RB1000,1,38.5135,,,,,
937901RB1000,1,38.5135,,,,,
NSA936507TG1006,10,3.315,,,,,
323165,10,3.315,,,,,
0-0132433-1,10,3.315,,,,,
EN3646A514,1,81.5915,,,,,
6120RAB14B000N,1,81.5915,,,,,
NSA938004-14,1,81.5915,,,,,
DBA50PR14,1,81.5915,,,,,
MS21069L3,10,0.3995,,,,,
NSA936501TA1604,10,1.8275,,,,,
936501-TA1604,10,1.8275,,,,,
936501TA1604,10,1.8275,,,,,
153106,10,1.8275,,,,,
EN3646A508,1,18.5895,,,,,
6120RAB8B000N,1,18.5895,,,,,
8500-18,1,18.5895,,,,,
NSA938-08,1,18.5895,,,,,
NSA938004-08,1,18.5895,,,,,
PC06E8-2SSR,1,193.9615,,,,,
MS35489-10,10,4.6665,,,,,
E0080-01-10C,2,24.021,,,,,
6150RDS10,2,24.021,,,,,
GTR62-10C-ACS1,2,24.021,,,,,
NSA937901M20-08,1,33.3795,,,,,
DHS713-112-28,1,33.3795,,,,,
DHS713-112.28,1,33.3795,,,,,
937901M2008,1,33.3795,,,,,
NSA937901M2008,1,33.3795,,,,,
001115-208-02,1,33.3795,,,,,
E0080-02-14C,1,21.522,,,,,
6150RCS14,1,21.522,,,,,
GTR71-14C,1,21.522,,,,,
MS21042L3,10,0.68,,,,,
RM52LH3324-02,10,0.68,,,,,
AS8600D,10,0.68,,,,,
GP5,100,0.578,,,,,
SL854-M5F10C,1,13.6595,,,,,
SL854M5F10C,1,13.6595,,,,,
MS3126F8-4S,1,39.1085,,,,,
MS3126F08-4S,1,39.1085,,,,,
MS90298-2,2,20.9525,,,,,
NAS1149C0532R,1000,0.136,,,,,
AN960C516L,1000,0.136,,,,,
8630-82,5,6.052,,,,,
252-8553-000,100,0.6885,,,,,
NSA937901M20-06,5,10.0215,,,,,
DHS713-112-26,5,10.0215,,,,,
DHS713-112.26,5,10.0215,,,,,
937901M2006,5,10.0215,,,,,
NSA937901M2006,5,10.0215,,,,,
NSA936501TA2005,20,1.2325,,,,,
936501-TA2005,20,1.2325,,,,,
152658,20,1.2325,,,,,
8-41-40-002,2,31.688,,,,,
8-41-40-004,1,70.975,,,,,
8-41-20-003,1,72.2415,,,,,
8630-25S,1,127.0325,,,,,
MS3105-24,1,35.8615,,,,,
MS33737-9C,10,1.054,,,,,
NAS487-13,10,1.054,,,,,
MS25043-24D,1,80.7245,,,,,
NAS1149F0363P,20,0.714,,,,,
AN960-10,20,0.714,,,,,
EN3196-060,10,1.445,,,,,
DIN65480 06U,10,1.445,,,,,
DIN6548006U,10,1.445,,,,,
NAS1149F0432P,20,3.264,,,,,
AN960-416L,20,3.264,,,,,
AN960416L,20,3.264,,,,,
MS27719-23,1,127.109,,,,,
12TW1-3,1,127.109,,,,,
8630-15S,1,114.359,,,,,
8-41-34-850,1,273.5045,,,,,
8-41-30-004,1,75.0975,,,,,
8630-13,1,28.1435,,,,,
DA15S,1,15.623,,,,,
MS28778-12,10,1.8785,,,,,
SP112,1,94.877,,,,,
