part_number,quantity,guide_price
ABS0368-01,1,20.774
1-480305-0,10,1.4365
1-480303-0,1,27.9055
LN9439AM6X18,5,6.9275
8630-93C25M,1,8.8655
8630-01-060,10,0.918
591100,1,4.1225
AN3C4A,5,1.802
BWT11-22800100A,1,131.5205
BWT15968-1,1,377.2555
DAM7W2S,1,20.859
MS17990C413,1,90.5675
MP21R50K/50K,1,208.947
MS17990C415,1,93.534
732-8052-00,1,636.3865
732-8052-00A,1,636.3865
2LA002428-00,1,386.8945
5BT6-35HI180L0160,1,503.064
5BT6-35,1,503.064
SO-33021-6,1,7.14
SO 33021-6,1,7.14
SO-31021-6,1,4.029
SO31021-6,1,4.029
SO-31121-6-1/8NPT,1,4.318
SO-32021-6,1,8.262
SO-31521-6,1,8.8315
SO 31521-6,1,8.8315
SO-30002-6,1,2.7625
SO-30503-6-A6,1,24.0635
S220A3A1,1,135.0565
S220-A3A1,1,135.0565
NAS1149C0463R,10,1.445
AN960C416,10,1.445
NAS1149C0432R,8,0.1275
AN960C416L,8,0.1275
DIN985M3A2-70,2,2.669
EN3766-025004,1,0.986
066-01153-0101,1,9868.4405
ISO4766-M4X4-A1-50,50,2.3375
MS21042L6,10,1.343
M85049/60-1N12,1,12.4695
M85049-60-1N12,1,12.4695
LN9198-4009BF,50,0.17
DIN985M4A2,10,1.955
11TNC50-2-9C,1,27.948
11_TNC-50-2-112/133_NE,1,27.948
MBBN3013L3203,10,1.53
MBBN3013L3204,5,1.581
L311M30X1002,1,6645.181
L311M30X2002,1,5565.103
L311M30X3002,1,5574.5295
MBBN3498C20,1,7.8965
MBBN3498C16,1,31.4245
MBBN3498E20,1,37.706
MBBN3498F20,1,32.181
NAS509-12C,1,78.8035
NSA936501TA1604,10,1.8275
936501-TA1604,10,1.8275
936501TA1604,10,1.8275
153106,10,1.8275
LN9198-4010BF,100,0.1445
DIN6912M5X16-8.8,5,2.2695
DIN916M6X10-45H,200,0.17
LN9025-0505K,20,1.258
ABS0604-4,20,3.281
MBBN3013L3603,10,2.0315
MBBN3013L3604,1,1.6745
CR3242-4-4,1,1.6745
MBBN3012M3602,5,3.7315
MBBN3012L4004,2,2.04
CR3213-5-4,2,2.04
MBBN3013L3202,5,1.4875
LN9438AM4X22,20,5.2275
"DIN9021B3,2NRST",10,2.3375
KE42RTV,1,3068.466
