part_number,quantity,guide_price
ABS0368-01,1,20.774
41850A14-4580,1,17586.9505
41850A-14-4580,1,17586.9505
11-6488P,1,143.225
1-480305-0,10,1.4365
1-480303-0,1,27.9055
S-2-RS-2V,1,9.8345
8630-93C25M,1,8.8655
8630-01-060,10,0.918
22201CM050003E,2,14.773
591100,1,4.1225
L2-117-93,1,4343.6445
MS17990C305,1,73.3635
DAM7W2S,1,20.859
SO-33021-6,1,7.14
SO 33021-6,1,7.14
SO-31021-6,1,4.029
SO31021-6,1,4.029
SO-32021-6,1,8.262
SO-31521-6,1,8.8315
SO 31521-6,1,8.8315
SO-30002-6,1,2.7625
SO-30503-6-A6,1,24.0635
S220A3A1,1,135.0565
S220-A3A1,1,135.0565
NAS1149C0463R,10,1.445
AN960C416,10,1.445
NAS1149C0432R,8,0.1275
AN960C416L,8,0.1275
DIN985M3A2-70,2,2.669
EN3766-025004,1,0.986
066-01153-0101,1,9868.4405
XD69-277-085,1,35.428
D4-XD69-277-085QA,1,35.428
ASN52320BH050N,10,2.346
22541N050,10,2.346
L22541-050N,10,2.346
5PH135M,10,2.346
ISO4766-M4X4-A1-50,50,2.3375
NAS1149C0363R,1,1.122
M85049/60-1N12,1,12.4695
M85049-60-1N12,1,12.4695
LN9198-4009BF,50,0.17
11TNC50-2-9C,1,27.948
11_TNC-50-2-112/133_NE,1,27.948
MBBN3013L3203,10,1.53
MBBN3013L3204,5,1.581
MBBN3012M3603,100,2.8985
MBBN3498C20,1,7.8965
PG59ND015-T05,1,109.6925
PG59ND015AT05,1,109.6925
MBBN3498C16,1,31.4245
MBBN3498E20,1,37.706
MBBN3498F20,1,32.181
MBBN3013L3602,5,1.955
CR3242-4-2,5,1.955
NSA936501TA1604,10,1.8275
936501-TA1604,10,1.8275
936501TA1604,10,1.8275
153106,10,1.8275
AN929-4J,1,55.93
LN9198-4010BF,100,0.1445
DIN914M4X6-45H,50,7.871
DIN916M6X10-45H,200,0.17
LN9025-0505K,20,1.258
ABS0604-4,20,3.281
MBBN3013L3603,10,2.0315
MBBN3013L3604,1,1.6745
CR3242-4-4,1,1.6745
MBBN3012M3602,5,3.7315
MBBN3012L4004,2,2.04
CR3213-5-4,2,2.04
MBBN3013L3202,5,1.4875
LN9438AM4X22,20,5.2275
"DIN9021B3,2NRST",10,2.3375
KE42RTV,1,3068.466
LN1481-030020,2,10.3445
1899-0415424,5,19.465
140-34-19-10-24,1,207.519
