Cherry_Canonical,Cherry_Erroneous,ALLFAST,NAS,ASNA,MS,AGUSTA
CR3522-2-01,CR3522-2-1,AF3522-2-01,NAS9308M-2-01,ASNA0077E201,,
CR3522-2-02,CR3522-2-2,AF3522-2-02,NAS9308M-2-02,ASNA0077E202,,
CR3522-2-03,CR3522-2-3,AF3522-2-03,NAS9308M-2-03,ASNA0077E203,,
CR3522-2-04,CR3522-2-4,AF3522-2-04,NAS9308M-2-04,ASNA0077E204,,
CR3522-2-05,CR3522-2-5,AF3522-2-05,NAS9308M-2-05,ASNA0077E205,,
CR3522-2-06,CR3522-2-6,AF3522-2-06,NAS9308M-2-06,ASNA0077E206,,
CR3522-2-07,CR3522-2-7,AF3522-2-07,NAS9308M-2-07,ASNA0077E207,,
CR3522-2-08,CR3522-2-8,AF3522-2-08,NAS9308M-2-08,ASNA0077E208,,
CR3522-2-09,CR3522-2-9,AF3522-2-09,NAS9308M-2-09,ASNA0077E209,,
CR3522-2-10,,AF3522-2-10,NAS9308M-2-10,ASNA0077E210,,
CR3522-2-11,,AF3522-2-11,NAS9308M-2-11,ASNA0077E211,,
CR3522-2-12,,AF3522-2-12,NAS9308M-2-12,ASNA0077E212,,
CR3522-2-13,,AF3522-2-13,NAS9308M-2-13,ASNA0077E213,,
CR3522-2-14,,AF3522-2-14,NAS9308M-2-14,ASNA0077E214,,
CR3522-2-15,,AF3522-2-15,NAS9308M-2-15,ASNA0077E215,,
CR3522-2-16,,AF3522-2-16,NAS9308M-2-16,ASNA0077E216,,
CR3522-2-17,,AF3522-2-17,NAS9308M-2-17,ASNA0077E217,,
CR3522-2-18,,AF3522-2-18,NAS9308M-2-18,ASNA0077E218,,
CR3522-2-19,,AF3522-2-19,NAS9308M-2-19,ASNA0077E219,,
CR3522-2-20,,AF3522-2-20,NAS9308M-2-20,ASNA0077E220,,
CR3522-2-21,,AF3522-2-21,NAS9308M-2-21,ASNA0077E221,,
CR3522-2-22,,AF3522-2-22,NAS9308M-2-22,ASNA0077E222,,
CR3522-2-23,,AF3522-2-23,NAS9308M-2-23,ASNA0077E223,,
CR3522-2-24,,AF3522-2-24,NAS9308M-2-24,ASNA0077E224,,
CR3522-2-25,,AF3522-2-25,NAS9308M-2-25,ASNA0077E225,,
CR3522-2-26,,AF3522-2-26,NAS9308M-2-26,ASNA0077E226,,
CR3522-2-27,,AF3522-2-27,NAS9308M-2-27,ASNA0077E227,,
CR3522-2-28,,AF3522-2-28,NAS9308M-2-28,ASNA0077E228,,
CR3522-2-29,,AF3522-2-29,NAS9308M-2-29,ASNA0077E229,,
CR3522-2-30,,AF3522-2-30,NAS9308M-2-30,ASNA0077E230,,
CR3522-2-31,,AF3522-2-31,NAS9308M-2-31,ASNA0077E231,,
CR3522-2-32,,AF3522-2-32,NAS9308M-2-32,ASNA0077E232,,
CR3522-2-33,,AF3522-2-33,NAS9308M-2-33,ASNA0077E233,,
CR3522-2-34,,AF3522-2-34,NAS9308M-2-34,ASNA0077E234,,
CR3522-2-35,,AF3522-2-35,NAS9308M-2-35,ASNA0077E235,,
CR3522-2-36,,AF3522-2-36,NAS9308M-2-36,ASNA0077E236,,
CR3522-2-37,,AF3522-2-37,NAS9308M-2-37,ASNA0077E237,,
CR3522-2-38,,AF3522-2-38,NAS9308M-2-38,ASNA0077E238,,
CR3522-2-39,,AF3522-2-39,NAS9308M-2-39,ASNA0077E239,,
CR3522-2-40,,AF3522-2-40,NAS9308M-2-40,ASNA0077E240,,
CR3522-3-01,CR3522-3-1,AF3522-3-01,NAS9308M-3-01,ASNA0077E301,,
CR3522-3-02,CR3522-3-2,AF3522-3-02,NAS9308M-3-02,ASNA0077E302,,
CR3522-3-03,CR3522-3-3,AF3522-3-03,NAS9308M-3-03,ASNA0077E303,,
