part_number,quantity,guide_parice
ABS0369-01,2,22.491
993109-156-6,5,13.039
22201BC080021L,5,9.129
L22201-80-21BCL,5,9.129
ABS0370-01,10,2.21
1-480305-0,10,1.4365
1-480303-0,2,27.9055
NSA55132-006,10,8.755
55132-006,10,8.755
2600-6S,10,8.755
22201CM050003E,5,14.773
M39029/32-259,50,1.547
M39029-32-259,50,1.547
NAS1149F0463P,50,0.697
AN960-416,50,0.697
NAS1149C0463R,20,1.445
AN960C416,20,1.445
NSA937901RB1000,1,38.5135
937901RB1000,1,38.5135
MS21042L6,20,1.343
NSA936507TG1006,10,3.315
323165,10,3.315
0-0132433-1,10,3.315
EN3646A514,1,81.5915
6120RAB14B000N,1,81.5915
NSA938004-14,1,81.5915
DBA50PR14,1,81.5915
MBBN3498E20,1,37.706
MBBN3013L3602,1,1.955
CR3242-4-2,1,1.955
NSA936501TA1604,10,1.8275
936501-TA1604,10,1.8275
936501TA1604,10,1.8275
153106,10,1.8275
EN3646A508,1,18.5895
6120RAB8B000N,1,18.5895
8500-18,1,18.5895
NSA938-08,1,18.5895
NSA938004-08,1,18.5895
MS3456L8S1S,1,63.6225
PC06E8-2SSR,1,193.9615
E0080-01-10C,2,24.021
6150RDS10,2,24.021
GTR62-10C-ACS1,2,24.021
NSA937901M20-08,1,33.3795
DHS713-112-28,1,33.3795
DHS713-112.28,1,33.3795
937901M2008,1,33.3795
NSA937901M2008,1,33.3795
001115-208-02,1,33.3795
E0080-02-14C,1,21.522
6150RCS14,1,21.522
GTR71-14C,1,21.522
MS21042L08,100,0.4845
MS21042L3,10,0.68
RM52LH3324-02,10,0.68
AS8600D,10,0.68
SL854-M5F10C,1,13.6595
SL854M5F10C,1,13.6595
MS3126F8-4S,1,39.1085
MS3126F08-4S,1,39.1085
MS90298-2,2,20.9525
8630-3427,10,12.546
NAS1149C0532R,1000,0.136
AN960C516L,1000,0.136
U93A-U,1,105.1705
U93AU,1,105.1705
326,1,105.1705
8630-82,5,6.052
SP113,1,70.482
SP113FJ3A,1,70.482
FJ3A,1,70.482
NSA936501TA2005,20,1.2325
936501-TA2005,20,1.2325
152658,20,1.2325
MS3126F12-10P,1,31.858
5106RC12-10P,1,31.858
5106RC12-10P50,1,31.858
8630-15P,1,67.966
8630-25S,1,127.0325
MS3105-24,1,35.8615
MS33737-9C,10,1.054
NAS487-13,10,1.054
MS25043-24D,1,80.7245
LN9025-0510K,1,1.377
NAS1149CN432R,100,0.901
AN960C4,100,0.901
NAS1149F0363P,20,0.714
AN960-10,20,0.714
NSA937901M20-01,1,18.5895
DHS713-112.21,1,18.5895
NSA937901M2001,1,18.5895
NAS1149F0432P,20,3.264
AN960-416L,20,3.264
AN960416L,20,3.264
MS27719-23,1,127.109
12TW1-3,1,127.109
8630-15S,1,114.359
8630-13,1,28.1435
DA15S,1,15.623
MS28778-12,10,1.8785
SP114,1,78.1745
SP114JK2A,1,78.1745
JK2A,1,78.1745
SP112,1,94.877
SP112JK1A,1,94.877
JK1A,1,94.877
8630-50S,1,84.5325
NAS1149FN832P,100,0.2295
AN960-8,100,0.2295
MS3105-32,1,90.185
MS35214-28,20,0.714
MS33737-11C,50,1.0965
NAS487-15,50,1.0965
NSA937901M20-04,1,20.825
DHS713-112.24,1,20.825
NSA937901M2004,1,20.825
937901M2004,1,20.825
E0708G1D,1,9.639
ASNE0708G1D,1,9.639
E0708R1D,1,9.639
MS28775-016,10,2.2695
804016,10,2.2695
MS35206-243,100,3.332
MS28775-011,10,2.159
19-04-135-022,10,2.159
8535-834,10,2.159
MS3320-3,1,31.603
AN743-12,5,0.4505
121156,1,7.2505
122361-1,10,3.3745
A0164TK050S042X,10,9.1375
A0164TK0505042X,10,9.1375
8630-3426,10,5.6865
EN3723-060,5,1.0285
DIN6548006D,5,1.0285
ASNA0078E402,10,2.3885
ASNA0078C402,10,2.3885
CR3523P4-2,10,2.3885
MS28775-018,10,2.312
8550-634,10,2.312
MS3459L10SL3S,1,119.204
EN4201-040,20,1.1135
8655-3140,1,33.6685
8655-3156,1,19.9495
H1P,20,1.6915
H3P,100,1.7935
MS27980-6N,50,0.51
LN29540B02,1,13.022
BM4LN29540,1,13.022
MS28778-5,20,1.972
NSA55144-002,50,3.1535
55144-002,50,3.1535
27S5-1,50,3.1535
PC3-1-2,5,3.672
26-0003,5,3.672
PS3-1-2,50,1.411
PS3-1-2-38,50,1.411
76-5000,50,1.411
PF3-1-2-38,5,6.732
D5-PF35-38,5,6.732
PF35-38,5,6.732
26-0002,5,6.732
HM10BCL100,10,7.157
HM10 BCL 100,10,7.157
100CC01A,1,1097.843
1N4007,5,16.711
22252TK050016X,1,8.8825
H2P,10,1.7595
NAS509-6,10,10.7355
ASNA0033-052,10,5.5675
MINOX1X,10,5.5675
55220-032-052,10,5.5675
DHS813-101.01,10,8.857
DHS813-101-01,10,8.857
DHN1004FLECHEROUGE,10,8.857
DHS813-100.04,10,8.8825
DHS813-100-04,10,8.8825
ASNA0363T0401,2,8.3215
CR7773S-04-01W,2,8.3215
CR777S-04-01W,2,8.3215
DHS443-152.84,2,12.2485
SL601M5-12-7C,2,12.2485
22719TK060022X,1,16.286
993503-125,10,8.5425
ASNA0032-022,10,6.9275
