sku;product-id;product-id-type;description;internal-description;price;price-additional-info;quantity;min-quantity-alert;state;available-start-date;available-end-date;logistic-class;favorite-rank;discount-start-date;discount-end-date;discount-price;update-delete;allow-quote-requests;leadtime-to-ship;min-order-quantity;max-order-quantity;package-quantity;price[channel=0100];discount-start-date[channel=0100];discount-end-date[channel=0100];discount-price[channel=0100];price[channel=1000];discount-start-date[channel=1000];discount-end-date[channel=1000];discount-price[channel=1000];price[channel=2000];discount-start-date[channel=2000];discount-end-date[channel=2000];discount-price[channel=2000];price[channel=5000];discount-start-date[channel=5000];discount-end-date[channel=5000];discount-price[channel=5000];price[channel=7000];discount-start-date[channel=7000];discount-end-date[channel=7000];discount-price[channel=7000];commercial-on-collection;plt;plt-unit;shelflife;shelflife-unit;warranty;warranty-unit;up-sell;cross-sell;vendor-reference
MS9549-10;mkp-000000000001715560;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
M25988-1-142;mkp-000000000001715722;SKU;;;5.29;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS9301B-4-04;mkp-000000000001715697;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
MS21054L3K;mkp-000000000001715710;SKU;;;4.24;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
HL20RB-6-7;mkp-000000000001715664;SKU;;;8.05;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
CR3214-5-04;mkp-000000000001715630;SKU;;;0.00;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
NAS43DD0-10N;mkp-000000000001715581;SKU;;;2.65;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
EN2367-29020;mkp-000000000001715714;SKU;;;0.34;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
HL113VAP6-32;mkp-000000000001715592;SKU;;;233.55;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
L21215DE4010J;mkp-000000000001715680;SKU;;;1.27;;1000;;1;;;;;;;;update;true;;;;;;;;;;;;;;;;;;;;;;;;;ON_DEMAND;;;;;;;;;
