"sku;""product-id"";""product-id-type"";""description"";""internal-description"";""price"";""price-additional-info"";""quantity"";""min-quantity-alert"";""state"";""available-start-date"";""available-end-date"";""logistic-class"";""favorite-rank"";""discount-start-date"";""discount-end-date"";""discount-price"";""update-delete"";""allow-quote-requests"";""leadtime-to-ship"";""min-order-quantity"";""max-order-quantity"";""package-quantity"";""price[channel=0100]"";""discount-start-date[channel=0100]"";""discount-end-date[channel=0100]"";""discount-price[channel=0100]"";""price[channel=1000]"";""discount-start-date[channel=1000]"";""discount-end-date[channel=1000]"";""discount-price[channel=1000]"";""price[channel=2000]"";""discount-start-date[channel=2000]"";""discount-end-date[channel=2000]"";""discount-price[channel=2000]"";""price[channel=5000]"";""discount-start-date[channel=5000]"";""discount-end-date[channel=5000]"";""discount-price[channel=5000]"";""price[channel=7000]"";""discount-start-date[channel=7000]"";""discount-end-date[channel=7000]"";""discount-price[channel=7000]"";""commercial-on-collection"";""plt"";""plt-unit"";""shelflife"";""shelflife-unit"";""warranty"";""warranty-unit"";""up-sell"";""cross-sell"";""vendor-reference"";""error-line"";""error-message""",
"21215DC1612J;""21215DC1612J"";""mpnTitle"";""21215DC1612J"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""2"";""The 'price' field is mandatory""",
"21215DC2405J;""21215DC2405J"";""mpnTitle"";""MATIERE:2117CHROMATERESISTANCECISAIL.R=195MPA"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""3"";""The 'price' field is mandatory""",
"21215DC2406J;""21215DC2406J"";""mpnTitle"";""RIVET TETE RONDE APLATIE"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""4"";""The 'price' field is mandatory""",
"21215DC2415J;""21215DC2415J"";""mpnTitle"";""21215DC2415J"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""10"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""5"";""The 'price' field is mandatory""",
"21215DC2420J;""21215DC2420J"";""mpnTitle"";""21215DC2420J"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""30"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""6"";""The 'price' field is mandatory""",
"21215DC3210J;""21215DC3210J"";""mpnTitle"";""RIVET"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""11"";""The 'price' field is mandatory""",
"21215DC3211J;""21215DC3211J"";""mpnTitle"";""MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""12"";""The 'price' field is mandatory""",
"21215DC3212J;""21215DC3212J"";""mpnTitle"";""RIVET TETE RONDE APLATIE"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""13"";""The 'price' field is mandatory""",
"21215DC3214J;""21215DC3214J"";""mpnTitle"";""21215DC3214J"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""10"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""14"";""The 'price' field is mandatory""",
"21215DC3220J;""21215DC3220J"";""mpnTitle"";""RIVET TETE RONDE APLATIE"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""15"";""The 'price' field is mandatory""",
"21215DC4006J;""21215DC4006J"";""mpnTitle"";""21215DC4006J"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""10"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""16"";""The 'price' field is mandatory""",
"21215DC4007J;""21215DC4007J"";""mpnTitle"";""21215DC4007J"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""5"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""17"";""The 'price' field is mandatory""",
"21215DC4009J;""21215DC4009J"";""mpnTitle"";""21215DC4009J"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""30"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""19"";""The 'price' field is mandatory""",
"21215TB2404;""21215TB2404"";""mpnTitle"";""21215TB2404"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""5"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""21"";""The 'price' field is mandatory""",
"21215TB2406;""21215TB2406"";""mpnTitle"";""21215TB2406"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""22"";""The 'price' field is mandatory""",
"21215TB2407;""21215TB2407"";""mpnTitle"";""RIVET"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""10"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""23"";""The 'price' field is mandatory""",
"21215TB3207;""21215TB3207"";""mpnTitle"";""RIVET"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""25"";""The 'price' field is mandatory""",
"21215TB3210;""21215TB3210"";""mpnTitle"";""RIVET"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""26"";""The 'price' field is mandatory""",
"21215TB3213;""21215TB3213"";""mpnTitle"";""21215TB3213"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""10"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""27"";""The 'price' field is mandatory""",
"21215TB3215;""21215TB3215"";""mpnTitle"";""21215TB3215"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""10"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""28"";""The 'price' field is mandatory""",
"21215TB4007;""21215TB4007"";""mpnTitle"";""RIVET TETE RONDE APLATIE"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""5"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""29"";""The 'price' field is mandatory""",
"21215TB4008;""21215TB4008"";""mpnTitle"";""RIVET TETE RONDE APLATIE"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""5"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""30"";""The 'price' field is mandatory""",
"21215TB4009;""21215TB4009"";""mpnTitle"";""21215TB4009"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""5"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""31"";""The 'price' field is mandatory""",
"21215TB4012;""21215TB4012"";""mpnTitle"";""RIVET TETE RONDE APLATIE"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""5"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""32"";""The 'price' field is mandatory""",
"21215TB4015;""21215TB4015"";""mpnTitle"";""RIVET TETE RONDE APLATIE"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""33"";""The 'price' field is mandatory""",
"21215TB4022;""21215TB4022"";""mpnTitle"";""21215TB4022"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""34"";""The 'price' field is mandatory""",
"21217DB2410;""21217DB2410"";""mpnTitle"";""RIVET FRAISE 100"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""28"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""35"";""The 'price' field is mandatory""",
"21217DB3207;""21217DB3207"";""mpnTitle"";""RIVET FRAISE 100"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""36"";""The 'price' field is mandatory""",
"21217DC2406J;""21217DC2406J"";""mpnTitle"";""MATIERE:2117 CHROMATE R195MPA"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""38"";""The 'price' field is mandatory""",
"21217DC2420J;""21217DC2420J"";""mpnTitle"";""MATIERE:2117 CHROMATE R195MPA"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""10"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""41"";""The 'price' field is mandatory""",
"21217DC3208J;""21217DC3208J"";""mpnTitle"";""RIVET"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""7"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""42"";""The 'price' field is mandatory""",
"21217DC3218J;""21217DC3218J"";""mpnTitle"";""RIVET FRAISE 100"";"""";"""";"""";""1"";"""";""1"";"""";"""";"""";"""";"""";"""";"""";""update"";""true"";""10"";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";"""";""ON_DEMAND"";"""";"""";"""";"""";"""";"""";"""";"""";"""";""46"";""The 'price' field is mandatory""",
