"sku";"product-id";"product-id-type";"description";"internal-description";"price";"price-additional-info";"quantity";"min-quantity-alert";"state";"available-start-date";"available-end-date";"logistic-class";"favorite-rank";"discount-start-date";"discount-end-date";"discount-price";"update-delete";"allow-quote-requests";"leadtime-to-ship";"min-order-quantity";"max-order-quantity";"package-quantity";"price[channel=0100]";"discount-start-date[channel=0100]";"discount-end-date[channel=0100]";"discount-price[channel=0100]";"price[channel=1000]";"discount-start-date[channel=1000]";"discount-end-date[channel=1000]";"discount-price[channel=1000]";"price[channel=2000]";"discount-start-date[channel=2000]";"discount-end-date[channel=2000]";"discount-price[channel=2000]";"price[channel=5000]";"discount-start-date[channel=5000]";"discount-end-date[channel=5000]";"discount-price[channel=5000]";"price[channel=7000]";"discount-start-date[channel=7000]";"discount-end-date[channel=7000]";"discount-price[channel=7000]";"commercial-on-collection";"plt";"plt-unit";"shelflife";"shelflife-unit";"warranty";"warranty-unit";"up-sell";"cross-sell";"vendor-reference";"error-line";"error-message"
"22126BC050024L";"22126BC050024L";"mpnTitle";"VIS TETE HEXA";"";"4.7";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"458";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"56";"The 'leadtime-to-ship' field has an invalid value. The value must be a positive integer and must not exceed the limit defined by the operator."
"22201BC050038L";"22201BC050038L";"mpnTitle";"22201BC050038L";"";"37.54";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"61";"The product does not exist"
"22251BC050032L";"22251BC050032L";"mpnTitle";"22251BC050032L";"";"7.41";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"95";"The product does not exist"
"22252BC060038L";"22252BC060038L";"mpnTitle";"VIS TETE FRAISEE 100";"";"9";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"98";"This product is not available for sale"
"22256BC050018L";"22256BC050018L";"mpnTitle";"Screw";"";"19.06";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"213";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"101";"The 'leadtime-to-ship' field has an invalid value. The value must be a positive integer and must not exceed the limit defined by the operator."
"23111AG030LE";"23111AG030LE";"mpnTitle";"WASHER";"";"0.4";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"123";"This product is not available for sale"
"23111AG040LE";"23111AG040LE";"mpnTitle";"WASHER";"";"9";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"124";"This product is not available for sale"
"23111TK040X";"23111TK040X";"mpnTitle";"23111TK040X";"";"6.04";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"130";"The product does not exist"
"23112AG080LE";"23112AG080LE";"mpnTitle";"WASHER";"";"2.65";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"157";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"133";"The 'leadtime-to-ship' field has an invalid value. The value must be a positive integer and must not exceed the limit defined by the operator."
"23116AG030LE";"23116AG030LE";"mpnTitle";"23116AG030LE";"";"0.25";"";"1";"";"1";"";"";"";"";"";"";"";"update";"true";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON_DEMAND";"";"";"";"";"";"";"";"";"";"135";"The product does not exist"
