"mkpCategory";"code";"mpnTitle";"description [en]";"name";"productSummary [en]";"productPresentation [en]";"productUnit";"packageContent";"packageContentUnit";"thirdLevel";"dangerous";"serialized";"logCard";"easaf1";"variantGroupCode";"eccn";"cm_code";"internalUnit";"id";"line_number";"errors"
"080_007";"FALSE";"21215DC1612J";"21215DC1612J";"21215DC1612J";"21215DC1612J";"21215DC1612J";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC1612J";"EAR";"";"











EA




























";"21215DC1612J";"2";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_014";"FALSE";"21215DC2405J";"MATIERE:2117CHROMATERESISTANCECISAIL.R=195MPA";"21215DC2405J";"MATIERE:2117CHROMATERESISTANCECISAIL.R=195MPA";"MATIERE:2117CHROMATERESISTANCECISAIL.R=195MPA";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC2405J";"EAR";"";"











EA




























";"21215DC2405J";"3";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_014";"FALSE";"21215DC2406J";"RIVET TETE RONDE APLATIE";"21215DC2406J";"RIVET TETE RONDE APLATIE";"RIVET TETE RONDE APLATIE";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC2406J";"EAR";"";"











EA




























";"21215DC2406J";"4";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_007";"FALSE";"21215DC2408J";"21215DC2408J";"21215DC2408J";"21215DC2408J";"21215DC2408J";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC2408J";"EAR";"";"











EA




























";"21215DC2408J";"5";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_014";"FALSE";"21215DC2415J";"21215DC2415J";"21215DC2415J";"21215DC2415J";"21215DC2415J";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC2415J";"EAR";"";"











EA




























";"21215DC2415J";"6";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_014";"FALSE";"21215DC2420J";"21215DC2420J";"21215DC2420J";"21215DC2420J";"21215DC2420J";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC2420J";"EAR";"";"











EA




























";"21215DC2420J";"7";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
"080_007";"FALSE";"21215DC3206J";"MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA";"21215DC3206J";"MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA";"MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC3206J";"EAR";"";"











EA




























";"21215DC3206J";"8";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_007";"FALSE";"21215DC3207J";"RIVET";"21215DC3207J";"RIVET";"RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC3207J";"EAR";"";"











EA




























";"21215DC3207J";"9";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_007";"FALSE";"21215DC3208J";"RIVET";"21215DC3208J";"RIVET";"RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC3208J";"EAR";"";"











EA




























";"21215DC3208J";"10";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_007";"FALSE";"21215DC3209J";"MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA";"21215DC3209J";"MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA";"MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC3209J";"EAR";"";"











EA




























";"21215DC3209J";"11";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_014";"FALSE";"21215DC3210J";"RIVET";"21215DC3210J";"RIVET";"RIVET";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC3210J";"EAR";"";"











EA




























";"21215DC3210J";"12";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_014";"FALSE";"21215DC3211J";"MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA";"21215DC3211J";"MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA";"MATIERE:2117 CHROMATE RESISTANCE CISAIL.R=195MPA";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC3211J";"EAR";"";"











EA




























";"21215DC3211J";"13";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_014";"FALSE";"21215DC3212J";"RIVET TETE RONDE APLATIE";"21215DC3212J";"RIVET TETE RONDE APLATIE";"RIVET TETE RONDE APLATIE";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC3212J";"EAR";"";"











EA




























";"21215DC3212J";"14";"MCM-04031|The product identifiers match multiple products from the same provider."
"080_014";"FALSE";"21215DC3214J";"21215DC3214J";"21215DC3214J";"21215DC3214J";"21215DC3214J";"EA";"1";"EA";"false";"false";"false";"false";"false";"21215DC3214J";"EAR";"";"











EA




























";"21215DC3214J";"15";"MCM-04000|MPN Title with multiple values : [NAS9305B-4-02 NSA53114-32ADL]"
