part_number,quantity,guide_price
22201BC080021L,5,9.129
L22201-80-21BCL,5,9.129
NSA55132-006,10,8.755
55132-006,10,8.755
2600-6S,10,8.755
22201CM050003E,5,14.773
M39029/32-259,50,1.547
M39029-32-259,50,1.547
NAS1149F0463P,50,0.697
AN960-416,50,0.697
NAS1149C0463R,20,1.445
AN960C416,20,1.445
NAS1149C0432R,1000,0.1275
AN960C416L,1000,0.1275
NAS1149C0363R,100,1.122
NSA936507TG1006,10,3.315
323165,10,3.315
0-0132433-1,10,3.315
EN3646A514,1,81.5915
6120RAB14B000N,1,81.5915
NSA938004-14,1,81.5915
DBA50PR14,1,81.5915
NSA936501TA1604,10,1.8275
936501-TA1604,10,1.8275
936501TA1604,10,1.8275
153106,10,1.8275
EN3646A508,1,18.5895
6120RAB8B000N,1,18.5895
8500-18,1,18.5895
NSA938-08,1,18.5895
NSA938004-08,1,18.5895
E0080-01-10C,2,24.021
6150RDS10,2,24.021
GTR62-10C-ACS1,2,24.021
MS21042L3,10,0.68
RM52LH3324-02,10,0.68
AS8600D,10,0.68
MS3126F8-4S,1,39.1085
MS3126F08-4S,1,39.1085
8630-3427,10,12.546
8-41-42-150,1,363.579
QD1004-015,1,19.516
QD1004015,1,19.516
MS3126F12-10P,1,31.858
5106RC12-10P,1,31.858
5106RC12-10P50,1,31.858
8-41-21-150,1,158.865
8-41-40-002,2,31.688
8-41-40-004,1,70.975
8-41-43-850,1,442.527
8-41-43-110,1,306.68
130679,20,1.955
8-41-20-004,1,71.757
NAS1149F0363P,20,0.714
AN960-10,20,0.714
DA15S,1,15.623
MS28778-12,10,1.8785
SP112,1,94.877
SP112JK1A,1,94.877
JK1A,1,94.877
MS35214-30,20,1.666
MS33737-11C,50,1.0965
NAS487-15,50,1.0965
MS28775-006,10,2.516
8518-934,10,2.516
MS28775-016,10,2.2695
804016,10,2.2695
MS35206-243,100,3.332
MS28775-011,10,2.159
19-04-135-022,10,2.159
8535-834,10,2.159
MS24665-153,100,0.3485
MS24665-151,100,0.323
AN381-2-8,100,0.323
121156,1,7.2505
122451-100,2,13.532
ASNA0078E402,10,2.3885
ASNA0078C402,10,2.3885
CR3523P4-2,10,2.3885
MS28775-018,10,2.312
8550-634,10,2.312
EN4201-040,20,1.1135
H1P,20,1.6915
H3P,100,1.7935
35108,10,3.485
320551,20,0.7565
NSA55144-002,50,3.1535
55144-002,50,3.1535
27S5-1,50,3.1535
PC3-1-2,5,3.672
26-0003,5,3.672
PS3-1-2,50,1.411
PS3-1-2-38,50,1.411
76-5000,50,1.411
PF3-1-2-38,5,6.732
D5-PF35-38,5,6.732
PF35-38,5,6.732
26-0002,5,6.732
320555,20,1.9125
MS28775-020,5,2.3545
1N4007,5,16.711
MS24665-300,100,0.238
AN381-3-12,100,0.238
MS17826-3,10,2.7795
MS17826-4,5,1.309
H2P,10,1.7595
MS17826-5,10,1.2495
NAS509-6,10,10.7355
ASNA0033-052,10,5.5675
MINOX1X,10,5.5675
55220-032-052,10,5.5675
