row_number,reason,manufacturer_name,airbus_material,manufacturer_part_number,cage_code,standard
1010273,Missing both Airbus Material and Manufacturer PN,AIRBUS MATERIAL,,,,
1010274,Missing both Airbus Material and Manufacturer PN,AIRBUS MATERIAL,,,,
1010275,Missing both Airbus Material and Manufacturer PN,AIRBUS MATERIAL,,,,
1010276,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010277,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010278,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010279,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010280,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010281,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010282,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010283,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010284,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010285,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010286,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010287,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010288,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010289,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010290,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010291,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010292,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010293,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010294,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010295,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010296,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010297,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010298,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010299,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010300,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010301,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010302,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010303,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010304,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010305,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010306,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010307,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010308,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010309,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010310,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010311,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010312,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010313,Missing both Airbus Material and Manufacturer PN,TYCO ELECTRONICS AMERMEX,,,,
1010314,Missing both Airbus Material and Manufacturer PN,GREENE,,,,
1010315,Missing both Airbus Material and Manufacturer PN,NMB-MINEBEA THAI LTD,,,,
