part_number,quantity,guide_price
993109-156-6,5,13.039
D110278,10,3.383
D110-278,10,3.383
22201BC080021L,5,9.129
L22201-80-21BCL,5,9.129
1-480305-0,10,1.4365
NSA55132-006,10,8.755
55132-006,10,8.755
2600-6S,10,8.755
22201CM050003E,5,14.773
M39029/32-259,50,1.547
M39029-32-259,50,1.547
NAS1149F0463P,50,0.697
AN960-416,50,0.697
NAS1149C0463R,20,1.445
AN960C416,20,1.445
NAS1149C0432R,1000,0.1275
AN960C416L,1000,0.1275
NAS1149CN832R,500,0.3825
AN960C8,500,0.3825
NSA937901RB1000,1,38.5135
937901RB1000,1,38.5135
NAS1149C0363R,100,1.122
MS21042L6,20,1.343
NSA936507TG1006,10,3.315
323165,10,3.315
0-0132433-1,10,3.315
EN3646A514,1,81.5915
6120RAB14B000N,1,81.5915
NSA938004-14,1,81.5915
DBA50PR14,1,81.5915
MBBN3498E20,1,37.706
NSA936501TA1604,10,1.8275
936501-TA1604,10,1.8275
936501TA1604,10,1.8275
153106,10,1.8275
EN3646A508,1,18.5895
6120RAB8B000N,1,18.5895
8500-18,1,18.5895
NSA938-08,1,18.5895
NSA938004-08,1,18.5895
PC06E8-2SSR,1,193.9615
MS35489-10,10,4.6665
E0080-01-10C,2,24.021
6150RDS10,2,24.021
GTR62-10C-ACS1,2,24.021
NSA937901M20-08,1,33.3795
DHS713-112-28,1,33.3795
DHS713-112.28,1,33.3795
937901M2008,1,33.3795
NSA937901M2008,1,33.3795
001115-208-02,1,33.3795
E0080-02-14C,1,21.522
6150RCS14,1,21.522
GTR71-14C,1,21.522
MS21042L08,100,0.4845
MS21042L3,10,0.68
RM52LH3324-02,10,0.68
AS8600D,10,0.68
MS3126F8-4S,1,39.1085
MS3126F08-4S,1,39.1085
8630-3427,10,12.546
U93A-U,1,105.1705
U93AU,1,105.1705
326,1,105.1705
8630-82,5,6.052
LN9348-05,1,1.224
252-8553-000,100,0.6885
NSA937901M20-06,5,10.0215
DHS713-112-26,5,10.0215
DHS713-112.26,5,10.0215
937901M2006,5,10.0215
NSA937901M2006,5,10.0215
NSA936501TA2005,20,1.2325
936501-TA2005,20,1.2325
152658,20,1.2325
MS3126F12-10P,1,31.858
5106RC12-10P,1,31.858
5106RC12-10P50,1,31.858
8-41-40-004,1,70.975
8630-15P,1,67.966
8630-25S,1,127.0325
MS3105-24,1,35.8615
MS33737-9C,10,1.054
NAS487-13,10,1.054
MS25043-24D,1,80.7245
NAS1149CN432R,100,0.901
AN960C4,100,0.901
NAS1149F0363P,20,0.714
AN960-10,20,0.714
EN3196-060,10,1.445
DIN65480 06U,10,1.445
DIN6548006U,10,1.445
NSA937901M20-01,1,18.5895
DHS713-112.21,1,18.5895
NSA937901M2001,1,18.5895
NAS1149F0432P,20,3.264
AN960-416L,20,3.264
AN960416L,20,3.264
MS27719-23,1,127.109
12TW1-3,1,127.109
8630-13,1,28.1435
DA15S,1,15.623
SP114,1,78.1745
SP114JK2A,1,78.1745
JK2A,1,78.1745
SP112,1,94.877
SP112JK1A,1,94.877
JK1A,1,94.877
8630-50S,1,84.5325
NAS1149FN832P,100,0.2295
AN960-8,100,0.2295
AN3-3A,1,0.153
MS3105-32,1,90.185
SL607M4-4S,5,16.5155
MS33737-11C,50,1.0965
NAS487-15,50,1.0965
NSA937901M20-04,1,20.825
DHS713-112.24,1,20.825
NSA937901M2004,1,20.825
937901M2004,1,20.825
E0708G1D,1,9.639
ASNE0708G1D,1,9.639
E0708R1D,1,9.639
MS28775-006,10,2.516
8518-934,10,2.516
MS28775-016,10,2.2695
804016,10,2.2695
MS28775-011,10,2.159
19-04-135-022,10,2.159
8535-834,10,2.159
MS24665-153,100,0.3485
MS24665-151,100,0.323
AN381-2-8,100,0.323
121156,1,7.2505
ASNA0077A408,10,4.08
A0164TK050S042X,10,9.1375
A0164TK0505042X,10,9.1375
8630-3426,10,5.6865
EN3723-060,5,1.0285
DIN6548006D,5,1.0285
EN3723-080,5,1.8275
DIN6548008D,5,1.8275
ASNA0078E402,10,2.3885
ASNA0078C402,10,2.3885
CR3523P4-2,10,2.3885
MS28775-018,10,2.312
8550-634,10,2.312
MS3459L10SL3S,1,119.204
LN9025-0610L,100,0.3825
EN4201-040,20,1.1135
8655-3140,1,33.6685
8655-3156,1,19.9495
H1P,20,1.6915
H3P,100,1.7935
320551,20,0.7565
MS27980-6N,50,0.51
MS28778-5,20,1.972
NSA55144-002,50,3.1535
55144-002,50,3.1535
27S5-1,50,3.1535
AN3-4A,1,1.9805
PC3-1-2,5,3.672
26-0003,5,3.672
PS3-1-2,50,1.411
PS3-1-2-38,50,1.411
76-5000,50,1.411
PF3-1-2-38,5,6.732
D5-PF35-38,5,6.732
PF35-38,5,6.732
26-0002,5,6.732
HM10BCL100,10,7.157
HM10 BCL 100,10,7.157
320555,20,1.9125
100CC01A,1,1097.843
MS28775-020,5,2.3545
1N4007,5,16.711
40351-10,1,135.048
22252TK050016X,1,8.8825
MS17826-3,10,2.7795
MS17826-4,5,1.309
H2P,10,1.7595
MS20002C8,10,2.8135
MS24665-1012,1,0.102
MS17826-5,10,1.2495
NAS509-6,10,10.7355
ASNA0033-052,10,5.5675
MINOX1X,10,5.5675
55220-032-052,10,5.5675
DHS813-100.04,10,8.8825
DHS813-100-04,10,8.8825
ASNA0363T0401,2,8.3215
CR7773S-04-01W,2,8.3215
CR777S-04-01W,2,8.3215
DHS443-152.84,2,12.2485
SL601M5-12-7C,2,12.2485
NSA5319-03-025,100,2.7625
5319-03-025,100,2.7625
E2X25,100,2.7625
993503-125,10,8.5425
NAS1919B05S03U,1,0.8075
NAS1919C05S05U,5,1.87
1919C05S05,5,1.87
NAS1921C05S03U,10,2.7115
1921C05S03,10,2.7115
NAS1149F0332P,1,1.36
AN960-10L,1,1.36
AN96010L,1,1.36
LN9439M4X12,20,3.808
AN316-7R,20,1.2835
NSA938150-02-12,1,6.1115
6150RDE12,1,6.1115
938150-02-12,1,6.1115
NSA9381500212,1,6.1115
NSA9381500312,1,63.682
6150RDC12,1,63.682
938150-03-12,1,63.682
8522-12-12B,1,63.682
MS21042-04,50,0.459
MS21044N3,20,3.349
MS21044N3.,20,3.349
MS28775-010,50,1.7765
1-78X6-07-24B7.,50,1.7765
8531-834,50,1.7765
MS28778-4,5,2.193
MS28778-6,10,2.2355
MS35206-228,100,1.1135
MS21044N06,50,0.357
MS210044N06,50,0.357
NSA55144-003,100,3.077
55144-003,100,3.077
2600LW,100,3.077
ASNA0021-21G03,10,2.6265
A0021-21G03,10,2.6265
ASNA0113-32ADL,100,0.323
53114-32ADL,100,0.323
A0019-0952M,2,25.1515
ASNA0019-0952M,2,25.1515
ASNA0113-24CA,100,0.2635
A0113-24CA,100,0.2635
EN4113S10NH,10,5.015
21S10,10,5.015
A0021-21S10,10,5.015
03B10S,10,8.5085
03 B10S,10,8.5085
MS35207-263,50,1.649
ASNA0363T0502,5,9.622
CR7773S-05-02W,5,9.622
EN3155-008M2018,100,0.272
EN3155008M2018,100,0.272
EN3155-016M1212,1,13.056
DHS713-181-04,1,13.056
DHS713-181.04,1,13.056
EN3155016M1212,1,13.056
937910EA1200,1,13.056
NSA937910EA1200,1,13.056
123000112,1,13.056
ASNA0341T0404,5,7.922
CR7770S-04-04W,5,7.922
ASNA0341T04-04,5,7.922
ASNA0113-32CA,100,0.3315
ASN-A0113-32CA,100,0.3315
53114-32CA,100,0.3315
ASNA0113-56ADL,50,1.1135
53114-56ADL,50,1.1135
NSA55172-001,5,16.6685
55172-001,5,16.6685
26R16-1,5,16.6685
22201BC080044L,1,12.223
22125BC060034L,10,6.426
L22125-60-34BCL,10,6.426
NSA55144-001,20,0.8755
55144-001,20,0.8755
2600SW,20,0.8755
ASNA0113-24ADL,50,2.2695
53114-24ADL,50,2.2695
2193-10C,1,104.0655
2193 10C,1,104.0655
MS28775-219,20,3.3065
DHS443-152.94,5,14.4585
SL601M5127A,5,14.4585
SL601M5-12-7A,5,14.4585
PA6/6M5X8,200,1.3005
4430050008,200,1.3005
M5X8-0443PA6-6,200,1.3005
A0023C10R25N-W,1,84.983
51453C10R25NW,1,84.983
55701C10R25N-W,1,84.983
55701C10R25NW,1,84.983
A0023C10R25NW,1,84.983
ASNA0341T0403,5,7.7095
CR7770S-04-03W,5,7.7095
ASNA0341T04-03,5,7.7095
CR7770S-4-3W,5,7.7095
22719BC040014L,2,39.967
L22719-40-14BCL,2,39.967
23201AM0040T,100,0.153
L23201-4AMT,100,0.153
22719BC060016L,1,55.3435
L22719-60-16BCL,1,55.3435
77-01-029-069,1,293.726
08-52-822-952,1,293.726
852822952,1,293.726
7701029069,1,293.726
22271BC040032L,10,2.703
L22271-40-32BCL,10,2.703
A0019FL09171N2,1,125.0265
KZ9-41-2-2-2,1,125.0265
KZ9-41-22,1,125.0265
ASNA0265-120,5,30.4045
A0164TK050026X,1,9.656
ASNA0164TK050026X,1,9.656
A0019-0961MV,1,57.681
ASNA0019-0961MV,1,57.681
22252TK050027X,10,8.2875
NSA55184-1,1,10.9565
55184-1,1,10.9565
4002SW,1,10.9565
DHS443-152.12,10,8.33
SL601M4-12-7S,10,8.33
DHS443-152.93,2,10.6165
DHS443-152.83,10,5.7715
DHS443-152-83,10,5.7715
SL601M5-9-4C,10,5.7715
A0164TK050S036X,10,8.194
NAS1291C4M,1,3.978
NAS1291C04M,1,3.978
V2398001,1,3.978
P32334,1,3.978
ASNA0032H082,2,11.5855
55216H062-082,2,11.5855
55216H0062-082,2,11.5855
993109-105-6,5,10.846
993109-255-5,2,16.983
MS21042L06,50,0.3145
ASNA0113-40ADL,100,0.442
53114-40ADL,100,0.442
DHS443-152.22,10,4.6155
"EF1001M5-12,7SV",10,4.6155
DHS443-152-22,10,4.6155
SL601M5-12-7S,10,4.6155
MS28775-015,10,2.2355
1-78X13-99-20B8,10,2.2355
13-99X1-78-20B8,10,2.2355
6-07X1-78-20B8,10,2.2355
8546-734,10,2.2355
DHS443-152.85,2,12.5715
DHS443-152-85,2,12.5715
DHS443-152.88,10,3.417
DHS443-152.33,1,12.3335
SL601M6-15-9S,1,12.3335
MS21042L4,50,0.782
NSA937901M20-09,1,10.217
DHS713-112-29,1,10.217
DHS713-112.29,1,10.217
937901M2009,1,10.217
NSA937901M2009,1,10.217
NSA937901M20-11,1,34.68
DHS713-112-31,1,34.68
DHS713-112.31,1,34.68
937901M2011,1,34.68
NSA937901M2011,1,34.68
FJM11E20-11T,1,34.68
ASNA0082-203,10,9.5965
21110503,10,9.5965
54207-164-03-1L,10,9.5965
2111-0503,10,9.5965
ASNA0082-204,5,9.7835
21110504,5,9.7835
2411-0504,5,9.7835
54207-164-04-1L,5,9.7835
22271BC050044L,10,4.25
L22271-50-44BCL,10,4.25
23116AG160LE,10,21.3265
22129BE100124L,2,36.0145
993109-185-6,5,6.6215
993109-125-6,1,13.3195
E0053R14B12PNF,1,20.7485
LN9016-05L,20,1.088
22271BC050032L,10,3.4255
993303-165-5,10,3.2215
MS28775-116,2,3.5785
AJ0187202620AA0,2,3.5785
MS28775-019,10,2.363
8552-634,10,2.363
MS28774-014,20,1.751
MS28774-016,10,2.3885
MS28774-114,20,2.4055
MS28775-008,10,2.1165
AN6223B3,10,2.1165
8526-934,10,2.1165
MS28775-013,50,1.8275
10-82X1-78-20B8,50,1.8275
MS28775-025,20,2.4395
MS28775-114,10,2.278
218040550,10,2.278
8547-834,10,2.278
NSA55132-104,5,10.064
55132-104,5,10.064
2600-4,5,10.064
22201BC060017L,10,1.5725
22138BC060017L,10,1.5725
L22201-60-17BCL,10,1.5725
22201BC060021L,10,1.6745
L22201-60-21BCL,10,1.6745
22201BC060020L,10,6.6045
L22201-60-20BCL,10,6.6045
22438BC100L,5,12.9795
L22438-100BCL,5,12.9795
MS3470W14-18S,1,39.7715
22437BC100L,10,4.624
L22437-100BCL,10,4.624
M39029/30-221,1,5.916
EN2023S10L,1,32.946
RL10,1,32.946
53110-060,20,2.5075
NSA937915-20,1,46.546
937915-20,1,46.546
110720061,1,46.546
DHS443-152.01,2,12.2485
DHS443-152-01,2,12.2485
SL601M3-9-4S,2,12.2485
ASNA0033-016,5,3.621
55220-010-016,5,3.621
ST406M53P132,5,3.621
EN2914-06012,10,2.703
E0053R16B26PNF,1,17.9605
FDBA50-16-26PNK090,1,17.9605
EN2139-08010,5,2.414
MS27980-7N,5,4.6155
ASNA0082-205,2,10.149
2111-0505,2,10.149
21110505,2,10.149
54207-164-05-1L,2,10.149
NAS1291C6M,1,10.1065
MS28778-8,5,2.4055
ECS0721M1210,1,16.4985
090-0005-12100,1,16.4985
0103-01-1210,1,16.4985
NSA55132-114,10,8.8995
55132-114,10,8.8995
2600-14,10,8.8995
M85049/49-2-12W,1,15.793
MS27506B12-2,1,15.793
MS3416-8EN,1,19.4055
006-0908-08-A499,1,19.4055
A0164TK050S026X,10,9.639
LN9499-03050,1,0.799
993503-505,1,13.226
NSA55132-011,10,8.8145
55132-011,10,8.8145
2600-011S,10,8.8145
MBBN3090-0415,1,10.5145
22126BC060020L,10,5.2955
22126BC060022L,1,11.492
L22126-60-22BCL,1,11.492
NSA55134-202,5,8.381
55134-202,5,8.381
212-12A,5,8.381
M83723-77R20-41N,1,174.097
M83723/77R2041N,1,174.097
MS28775-014,5,2.227
8544-734,5,2.227
NSA55134-001,1,32.453
55134-001,1,32.453
212-12SD,1,32.453
22208BC050006L,10,2.04
A0164TK040S010X,10,3.808
A0164TK040010X,10,3.808
ASNA0164TK040010X,10,3.808
A0164TK050S008X,2,8.687
ASN-A0164TK050S008,2,8.687
MS33737-13C,10,1.088
NAS487-17,10,1.088
MS33737-12C,10,2.8305
NAS487-16,10,2.8305
LN9038K05016,1,1.887
1615DU,5,23.698
MB16-15DU,5,23.698
MB1615DU,5,23.698
23350AC050LE,20,1.3345
L23350-50ACL,20,1.3345
ASNA0032H036,1,6.4005
55216H024-036,1,6.4005
NSA936501TA2004,10,1.6405
936501-TA2004,10,1.6405
152657,10,1.6405
NSA55164-101,20,2.057
55164-101,20,2.057
M85049/49-2-16N,1,71.145
MS27506F16-2,1,71.145
ASNA0077A404,20,2.125
CR3212-4-4,20,2.125
NSA936501TA2201,20,1.2495
936501-TA2201,20,1.2495
936501TA2201,20,1.2495
152642,20,1.2495
M85049/49-2-14W,1,7.1825
MS27506B14-2,1,7.1825
MA9917-14W,1,7.1825
M85049-49-2-14W,1,7.1825
6PBS8,100,0.1275
NSA935504-03,2,12.75
935504-03,2,12.75
935604-03,2,12.75
NSA93550403,2,12.75
R141782,1,95.2595
EN3545E05MX,1,67.677
EN3545E05MXA00C,1,67.677
NSA937901M20-02,1,33.4985
DHS713-112-22,1,33.4985
DHS713-112.22,1,33.4985
937901M2002,1,33.4985
NSA937901M2002,1,33.4985
208-2B02,1,33.4985
MBBN3090-0505,1,16.728
1515DU,5,23.613
MB1315SC,5,23.613
MB15-15DU,5,23.613
MB1515DU,5,23.613
SJ3283,10,2.0825
53105-50AEL,100,0.476
95110-250,5,6.4855
MS21044N08,1,4.182
NSA936501TA2003,20,2.329
936501-TA2003,20,2.329
152656,20,2.329
NSA936501TA2006,10,1.343
936501-TA2006,10,1.343
NSA936501TA2205,20,1.36
936501-TA2205,20,1.36
152646,20,1.36
NSA938421-03,5,1.6405
8630-04,5,1.6405
EN3646A522,1,34.425
6120RAB22B000N,1,34.425
NSA938004-22,1,34.425
EN3646A520,1,35.887
6120RAB20B000N,1,35.887
NSA938004-20,1,35.887
DBA50PR20,1,35.887
AN3H15A,10,12.393
ASNA0032-097,2,12.5885
55216-077-097,2,12.5885
FLEXINOX4,2,12.5885
55216-77-97,2,12.5885
SL854-M6C11C,10,11.339
SL854M6C11C,10,11.339
117-804181,1,1013.2935
AN6289D8,1,16.405
DC20963,1,15.3935
LN9016-05M,100,0.4335
MS25043-32D,1,55.0375
MS28775-017,50,1.887
MS28778-10,10,2.635
MS28775-112,1,2.397
AN6227B10,1,2.397
AN6227B10.,1,2.397
MS3106E10SL-3S,1,97.6905
AN3106E10SL3S,1,97.6905
MS3106E10SL3S,1,97.6905
MS28775-012,20,4.1055
9-25X1-78-20B8,20,4.1055
MS35206-227,100,0.0595
SL607M4-4C,1,4.063
SL854-M5C7C,1,13.396
SL854M5C7C,1,13.396
S129,1,1875.015
13445A,1,272.442
100FU01-080,1,232.6195
MS28775-009,1,2.9665
179289,1,2.9665
MS28775-024,10,2.516
WH150,10,6.256
RR150,10,6.256
RR 150,10,6.256
RR150SPIROLOX,10,6.256
WH337,20,5.559
RR337,20,5.559
RR 337,20,5.559
03B12S,5,9.163
MS25043-16D,1,65.4755
M39029/22-192,1,2.7285
AN174-15,10,3.179
EN2367-18020,50,0.408
EN3545E02FX,1,49.0025
EN3545E02FXA00C,1,49.0025
EN3545E02FXB00C,1,49.0025
EN2495-03AM,1,29.631
EN2495-03A,1,29.631
EN249503A,1,29.631
84402-003,1,29.631
84402003,1,29.631
WS125,50,0.561
RS125,50,0.561
RS 125,50,0.561
EN2367-18022,10,0.408
EN2367-14018,20,0.323
AN176-16,1,5.3125
528412,1,48.2375
05 284 12,1,48.2375
05-284-12,1,48.2375
EN2495-25AM,1,45.4835
84402-025,1,45.4835
41411,1,14.0505
M39029/30-218,5,6.6725
M39029-30-218,5,6.6725
MS28775-126,20,2.5585
RR-118,5,3.825
RR118,5,3.825
RR 118,5,3.825
SL607M5-4C,5,9.707
MS35206-230,10,1.7085
MBBN3403-12,1,5.7715
D108-12,1,5.7715
620-857-445-0,1,5.7715
SL210M4-1,10,3.655
EF2005M4-1,10,3.655
SL210-04-1,10,3.655
MS29513-011,1,1.36
D20419-16,10,3.3405
VF1016,1,17.8755
700KU01-5,1,198.407
700KU015,1,198.407
122357-125,2,100.6995
03G10S,20,1.921
ECS2060-075P,20,1.921
EN2122-03005,20,1.1475
E0607-02,20,1.513
DHS515-101-35,20,1.513
704A67042026,20,1.513
K38215,1,5060.2625
DIN65508-04D,2,0.8585
EN2367-18025,20,0.425
EN2810-080,1,6.97
EN2139-06016,20,1.632
EN2139-04005,10,0.9265
EN2139-05005,50,0.289
EN2998-050,10,2.7795
DIN65508-06D,2,1.2325
EN2139-05010,50,0.85
DIN65268-06012A,1,2.176
NSA55134-104,10,3.0515
55134-102,10,3.0515
NSA55134-102,10,3.0515
26R6-1BB,10,3.0515
EN2139-10010,10,10.829
EN213910010,10,10.829
EN2367-23014,10,0.425
DIN65480-08D,10,1.547
EN2139-04010,10,0.3655
EN2914-04010,1,2.635
EN2914-05010,5,2.703
NSA55136-001,10,15.266
55136-001,10,15.266
2600E2S,10,15.266
EN2139-02505,10,0.357
DIN65270-08D,1,8.8825
NSA55133-103,5,11.9085
55133-103,5,11.9085
2600-3W,5,11.9085
DIN65545-040U,1,1.7255
DIN65545-04U,1,1.7255
8630-09S,1,52.564
ASNA0033H067,10,4.828
55220H047-067,10,4.828
A0033H067,10,4.828
ASNA0033H045,10,4.879
FX-8MH-25-45-V6TH7,10,4.879
55220H025-045,10,4.879
A0033H045,10,4.879
ASNA0033H097,5,3.8165
55220H077-097,5,3.8165
A0033H097,5,3.8165
EN2367-14010,100,0.2805
EN2810-060,1,1.445
ASNA0033H052,2,5.4825
2108 3052 42 111,2,5.4825
55220H032-052,2,5.4825
ASNA0033H060,5,5.083
MBBN3090-0510,1,24.5055
ASNA0033H082,5,5.6695
MINOXH8-62-82,5,5.6695
55220H062-082,5,5.6695
SL854-M4C5C,1,19.788
SL854M4C5C,1,19.788
SL 854-M4-C5C,1,19.788
MBBN3090-0520,1,28.407
ASNA0033H036,2,4.8365
55220H024-036,2,4.8365
ASNA0033H028,5,7.616
55220H018-028,5,7.616
ASNA0033H120,10,4.1905
FX08M100-120HJ,10,4.1905
FLEXH8-100-120,10,4.1905
EN2495-05AM,1,31.1865
84402-005,1,31.1865
EN2495-10AM,1,44.9905
84402-010,1,44.9905
84402010,1,44.9905
EN2495-15AM,1,45.3305
84402-015,1,45.3305
84402015,1,45.3305
EN3381-050006AF,1,8.313
ASNA0033H022,10,2.159
55220H014-022,10,2.159
EN2997RS01404BN,1,58.7945
EN2139-03005,5,0.5185
116SF2C502W253,1,1020.629
116SF2C502W00253,1,1020.629
MBBN3331AJ16,1,17.8075
FSUMJ-1601PD,1,17.8075
MBBN3331AJ14,1,18.853
FSUMJ-1401PD,1,18.853
MBBN3331AJ12,1,17.765
FSUMJ-1201PD,1,17.765
MBBN3331AJ10,1,17.6205
FSUMJ-1001PD,1,17.6205
EN2914-05016,1,2.312
23111CA050,20,0.3995
L23111-50CA,20,0.3995
3029-194,20,0.3995
EN2997S60803BN,1,88.4595
EN2997S60803B6,1,93.4065
8533-3KS0803S6L,1,93.4065
EN2997S61005BN,1,96.0925
EN2997S61006BN,1,99.1865
EN3682P3,1,776.543
MPX3A0001,1,776.543
E0374SX1607,1,13.192
616330,1,13.192
E0374SX2008,10,4.743
205116-1,10,4.743
EN3155-019F1212,10,1.7935
6492B00.12,10,1.7935
6492B0012,10,1.7935
NSA938152SA1200,10,1.7935
0603-32-1259B,10,1.7935
EN3155019F1212,10,1.7935
EN3155-018M2018,100,0.833
6490B0020,100,0.833
DHS716-921-20,100,0.833
NSA938151PA2000,100,0.833
EN3155018M2018,100,0.833
0641-10-2059B,100,0.833
6490B00-20,100,0.833
EN3155-019F1616,100,1.2665
6492B00.16,100,1.2665
6492B0016,100,1.2665
NSA938152SA1600,100,1.2665
M39029/5-116,100,1.2665
EN3155019F1616,100,1.2665
0603-33-1659B,100,1.2665
NSA937916-16,1,103.5725
DHS713-143-11,1,103.5725
DHS713-143.11,1,103.5725
937916-16,1,103.5725
NSA93791616,1,103.5725
208300,1,103.5725
20404,1,67.66
7-079-03-1704,1,67.66
20001,1,19.312
20 001,1,19.312
39081,1,76.9335
33844,1,45.968
29508,1,438.0475
EN2495-02AM,1,31.348
84402-002,1,31.348
